Type, App, Status, Path, Apk DPI, PROGUARD, Compiler SDK Version
3rd_party, WebStorage, new, vendor/app-prebuilt/ZS620KL/3rd_party/WebStorage-1.2.0, None, None, None
3rd_party, YandexApp, new, vendor/app-prebuilt/ZS620KL/3rd_party/YandexApp-6.45, None, None, None
3rd_party, YandexBrowser, new, vendor/app-prebuilt/ZS620KL/3rd_party/YandexBrowser-18.3.1.663, None, None, None
3rd_party, ZenTalk, new, vendor/app-prebuilt/ZS620KL/3rd_party/ZenTalk-2.2.45_20180801, None, None, None
3rd_party, iFilter, new, vendor/app-prebuilt/ZS620KL/3rd_party/iFilter-1.1, None, None, None
google, CalendarGoogle, new, vendor/app-prebuilt/ZS620KL/google/apps/CalendarGoogle, None, None, None
google, CantoneseIME, new, vendor/app-prebuilt/ZS620KL/google/apps/CantoneseIME, None, None, None
google, CarrierServices, new, vendor/app-prebuilt/ZS620KL/google/apps/CarrierServices, None, None, None
google, Chrome, new, vendor/app-prebuilt/ZS620KL/google/apps/Chrome, None, None, None
google, ConfigUpdater, new, vendor/app-prebuilt/ZS620KL/google/apps/ConfigUpdater, None, None, None
google, Drive, new, vendor/app-prebuilt/ZS620KL/google/apps/Drive, None, None, None
google, Duo, new, vendor/app-prebuilt/ZS620KL/google/apps/Duo, None, None, None
google, GMSFramework, new(not app), vendor/app-prebuilt/ZS620KL/google/products/gms_asus.mk, None, None, None
google, Gmail2, new, vendor/app-prebuilt/ZS620KL/google/apps/Gmail2, None, None, None
google, GmsCore, new, vendor/app-prebuilt/ZS620KL/google/apps/GmsCore, None, None, None
google, GoogleBackupTransport, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleBackupTransport, None, None, None
google, GoogleCalendarSyncAdapter, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleCalendarSyncAdapter, None, None, None
google, GoogleContactsSyncAdapter, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleContactsSyncAdapter, None, None, None
google, GoogleExtServices, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleExtServices, None, None, None
google, GoogleExtShared, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleExtShared, None, None, None
google, GoogleFeedback, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleFeedback, None, None, None
google, GoogleLens, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleLens, None, None, None
google, GoogleOneTimeInitializer, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleOneTimeInitializer, None, None, None
google, GooglePackageInstaller, new, vendor/app-prebuilt/ZS620KL/google/apps/GooglePackageInstaller, None, None, None
google, GooglePartnerSetup, new, vendor/app-prebuilt/ZS620KL/google/apps/GooglePartnerSetup, None, None, None
google, GooglePay, new, vendor/app-prebuilt/ZS620KL/google/apps/GooglePay, None, None, None
google, GooglePrintRecommendationService, new, vendor/app-prebuilt/ZS620KL/google/apps/GooglePrintRecommendationService, None, None, None
google, GoogleServicesFramework, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleServicesFramework, None, None, None
google, GoogleTTS, new, vendor/app-prebuilt/ZS620KL/google/apps/GoogleTTS, None, None, None
google, LatinImeGoogle, new, vendor/app-prebuilt/ZS620KL/google/apps/LatinImeGoogle, None, None, None
google, Maps, new, vendor/app-prebuilt/ZS620KL/google/apps/Maps, None, None, None
google, Messages, new, vendor/app-prebuilt/ZS620KL/google/apps/Messages, None, None, None
google, Music2, new, vendor/app-prebuilt/ZS620KL/google/apps/Music2, None, None, None
google, Phonesky, new, vendor/app-prebuilt/ZS620KL/google/apps/Phonesky, None, None, None
google, Photos, new, vendor/app-prebuilt/ZS620KL/google/apps/Photos, None, None, None
google, SetupWizard, new, vendor/app-prebuilt/ZS620KL/google/apps/SetupWizard, None, None, None
google, Velvet, new, vendor/app-prebuilt/ZS620KL/google/apps/Velvet, None, None, None
google, Videos, new, vendor/app-prebuilt/ZS620KL/google/apps/Videos, None, None, None
google, WebViewGoogle, new, vendor/app-prebuilt/ZS620KL/google/apps/WebViewGoogle, None, None, None
google, YouTube, new, vendor/app-prebuilt/ZS620KL/google/apps/YouTube, None, None, None
google, ZhuyinIME, new, vendor/app-prebuilt/ZS620KL/google/apps/ZhuyinIME, None, None, None
google, talkback, new, vendor/app-prebuilt/ZS620KL/google/apps/talkback, None, None, None
amax-prebuilt, SettingsProvider, missing, None, None, None, None
